Date, Weight, Fat, Viceral Fat, Muscle, BodyAge, RM, BMI
2017-10-16, 73.5, 22.7, 7, 37.7, 39, 1674, 25.4
2017-10-17, 73.1, 22.3, 7, 35.1, 48, 1601, 25.3
2017-10-18, 73.5, 22.7, 7, 36.0, 44, 1634, 25.4
2017-10-19, 73.0, 22.4, 7, 36.2, 44, 1627, 25.3
2017-10-20, 73.1, 22.5, 7, 36.0, 45, 1623, 25.3
2017-10-21, 73.4, 22.8, 7, 35.7, 45, 1626, 25.5
2017-10-22, 73.2, 22.7, 7, 37.0, 41, 1655, 25.5
2017-10-23, 73.0, 22.6, 7, 37.6, 39, 1663, 25.4
2017-10-24, 72.4, 22.0, 7, 35.1, 47, 1588, 25.2
2017-10-25, 72.2, 22.1, 7, 35.9, 44, 1606, 25.1
2017-10-26, 71.7, 21.6, 7, 35.6, 46, 1586, 25.0
2017-10-27, 71.2, 21.3, 7, 35.6, 46, 1575, 24.8
2017-10-28, 71.0, 21.0, 7, 35.3, 47, 1561, 24.7
2017-10-29, 70.9, 20.9, 7, 35.1, 48, 1555, 24.7
2017-10-30, 70.5, 20.7, 6, 35.4, 46, 1554, 24.5
2017-10-31, 70.8, 21.2, 6, 36.6, 42, 1593, 24.6
2017-11-01, 70.4, 20.7, 6, 35.7, 45, 1560, 24.5
2017-11-02, 70.1, 20.7, 6, 36.5, 42, 1575, 24.4
2017-11-03, 69.6, 20.2, 6, 36.1, 44, 1552, 24.2
2017-11-04, 69.8, 20.4, 6, 36.4, 43, 1565, 24.3
2017-11-05, 70.0, 20.8, 6, 37.4, 39, 1596, 24.4
2017-11-06, 69.5, 20.2, 6, 36.3, 43, 1557, 24.2
2017-11-07, 68.8, 19.6, 6, 36.4, 43, 1542, 23.9
2017-11-08, 69.0, 19.7, 6, 36.3, 43, 1545, 25.0
2017-11-09, 69.3, 19.8, 6, 35.9, 45, 1540, 24.1
2017-11-10, 68.1, 19.0, 6, 36.4, 42, 1528, 23.7
2017-11-11, 68.7, 19.6, 6, 36.7, 41, 1548, 23.9
2017-11-12, 68.4, 19.5, 6, 37.0, 40, 1551, 23.8
2017-11-13, 68.5, 19.7, 6, 37.8, 37, 1574, 23.8
2017-11-14, 68.5, 19.8, 6, 38.2, 36, 1583, 23.8
2017-11-15, 69.2, 20.3, 6, 38.2, 36, 1598, 24.1
2017-11-16, 68.2, 19.6, 6, 38.2, 35, 1577, 23.7
2017-11-17, 68.3, 19.4, 6, 36.9, 40, 1546, 23.8
2017-11-18, 67.6, 19.0, 6, 37.9, 37, 1554, 23.5
2017-11-19, 67.7, 19.0, 6, 37.3, 39, 1542, 23.6
2017-11-20, 68.1, 19.4, 6, 37.9, 37, 1566, 23.7
2017-11-21, 67.9, 19.1, 6, 37.3, 39, 1546, 23.6
2017-11-22, 68.5, 19.6, 6, 37.3, 39, 1559, 23.8
2017-11-23, 66.7, 18.0, 5, 37.2, 39, 1516, 23.2
2017-11-24, 67.1, 18.3, 6, 37.0, 40, 1520, 23.4
2017-11-25, 66.5, 18.5, 5, 40.1, 28, 1584, 23.1
2017-11-26, 67.5, 19.0, 6, 38.0, 36, 1555, 23.5
2017-11-27, 67.9, 19.4, 5, 40.7, 27, 1628, 23.6
2017-11-28, 67.8, 19.1, 6, 37.4, 38, 1548, 23.6
2017-11-29, 66.2, 17.8, 5, 37.7, 37, 1518, 23.0
2017-11-30, 66.0, 17.5, 5, 37.4, 38, 1507, 23.0
2017-12-01, 66.1, 17.8, 5, 37.9, 36, 1522, 23.0
2017-12-02, 67.3, 18.8, 6, 37.9, 36, 1549, 23.4
2017-12-03, 66.4, 17.9, 5, 37.5, 38, 1517, 23.1
2017-12-04, 66.5, 18.3, 5, 38.7, 33, 1551, 23.1
2017-12-05, 66.6, 18.2, 5, 38.0, 36, 1536, 23.2
2017-12-06, 66.3, 18.3, 5, 39.2, 32, 1557, 23.1
2017-12-07, 65.3, 16.9, 5, 37.7, 37, 1494, 22.7
2017-12-08, 65.8, 17.7, 5, 38.6, 34, 1533, 22.9
2017-12-09, 65.3, 17.0, 5, 37.9, 37, 1502, 22.7
2017-12-10, 65.8, 17.7, 5, 38.5, 34, 1529, 22.9
2017-12-11, 66.0, 18.0, 5, 39.3, 31, 1555, 23.0
2017-12-12, 65.9, 17.8, 5, 38.4, 34, 1530, 22.9
2017-12-13, 64.4, 15.3, 5, 36.6, 43, 1444, 22.4
2017-12-14, 65.5, 17.2, 5, 37.9, 36, 1508, 22.8
2017-12-15, 66.1, 18.2, 5, 39.6, 30, 1564, 23.0
2017-12-16, 66.1, 18.2, 5, 40.5, 27, 1585, 23.0
2017-12-17, 66.5, 18.0, 5, 37.5, 38, 1519, 23.1
2017-12-18, 64.7, 17.2, 5, 40.7, 26, 1558, 22.5
2017-12-19, 65.0, 16.3, 5, 37.1, 40, 1472, 22.6
2017-12-20, 66.4, 18.4, 5, 40.4, 27, 1588, 23.1
2017-12-21, 66.5, 18.5, 5, 39.8, 29, 1577, 23.1
2017-12-22, 66.3, 18.4, 5, 40.2, 28, 1583, 23.1
2017-12-23, 66.5, 18.1, 5, 38.0, 36, 1532, 23.1
2017-12-24, 66.5, 18.5, 5, 39.9, 29, 1579, 23.1
2017-12-25, 66.9, 18.4, 5, 37.6, 38, 1532, 23.3
